Age,Gender,Education,Country,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,CNS_depressants,CNS_stimulants,Cannabis,Nicotine,Hallucinogens
2,1,1,UK,39.0,36.0,42.0,37.0,42.0,-0.21712,-1.18084,5,2,2,0,2,0
1,-1,2,UK,29.0,52.0,55.0,48.0,41.0,-0.71126,-0.21575,5,2,4,4,4,2
2,-1,1,UK,31.0,45.0,40.0,32.0,34.0,-1.37983,0.40148,6,0,0,3,0,1
0,1,2,UK,34.0,34.0,46.0,47.0,46.0,-1.37983,-1.18084,4,3,2,2,2,0
2,1,2,UK,43.0,28.0,43.0,41.0,50.0,-0.21712,-0.21575,4,1,1,3,2,2
5,1,0,Canada,29.0,38.0,35.0,55.0,52.0,-1.37983,-1.54858,2,0,0,0,6,0
3,-1,2,USA,31.0,32.0,43.0,41.0,48.0,-0.21712,0.07987,6,0,0,1,6,0
2,-1,0,UK,24.0,52.0,40.0,41.0,52.0,0.19268,-0.52593,5,0,0,0,0,0
2,1,1,Canada,42.0,55.0,39.0,48.0,49.0,-1.37983,-1.54858,4,0,0,0,6,0
4,-1,2,UK,33.0,40.0,36.0,47.0,43.0,-1.37983,-0.84637,6,1,1,1,6,0
1,1,2,UK,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987,5,1,2,2,2,0
4,1,2,UK,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987,5,4,1,3,6,1
4,1,1,Canada,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.84637,1,0,0,0,1,0
4,1,1,UK,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,6,0,0,0,6,0
4,-1,2,UK,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,5,2,2,1,0,0
2,1,1,UK,22.0,34.0,34.0,45.0,47.0,-0.21712,-2.07848,6,1,0,3,6,0
3,-1,0,UK,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.84637,6,2,1,6,6,1
4,-1,2,Australia,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,6,2,2,3,0,1
2,-1,1,UK,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,4,0,6,1,1,0
3,-1,1,UK,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,6,1,1,2,3,1
5,-1,0,UK,25.0,43.0,38.0,39.0,53.0,-0.21712,-1.18084,5,0,0,1,1,1
3,-1,2,UK,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987,4,0,0,0,0,0
3,-1,0,UK,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.54858,6,5,2,2,6,1
4,-1,2,UK,34.0,44.0,54.0,48.0,51.0,-0.21712,-0.52593,5,1,1,1,6,1
3,-1,1,UK,28.0,37.0,37.0,49.0,42.0,-0.21712,0.40148,5,2,3,1,1,2
4,1,0,Canada,35.0,28.0,24.0,38.0,46.0,0.19268,-1.54858,6,2,0,1,6,0
2,-1,2,UK,41.0,31.0,46.0,43.0,25.0,1.86203,0.40148,6,2,2,6,2,3
2,1,2,UK,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,6,0,0,1,0,0
3,-1,2,UK,24.0,51.0,52.0,49.0,53.0,-0.21712,-0.52593,0,0,0,0,0,0
