Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,48135.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,455514.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,1116.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,62330.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,11792.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,859030.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,49376.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,513173.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,1089.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,80486.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,12255.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,847381.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,53451.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,541455.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,1095.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,78601.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,12479.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,9683.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,862220.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,56709.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,504718.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,1164.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,84692.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,13737.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,10140.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,874096.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,58269.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,450766.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,1148.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,79523.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,15147.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,11569.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,866358.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,68019.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,58419.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,419119.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,1549.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,79892.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,16186.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,11948.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,843683.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,71972.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,57002.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,399713.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,1605.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,5621.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,15580.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,11941.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,812514.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,68665.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,55436.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,366878.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,1451.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,5493.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,15038.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,11260.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,781844.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,66103.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,53957.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,336867.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,1446.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,4693.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,14709.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,10806.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,752423.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,63709.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,53339.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,310953.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,1278.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,3643.0,CTS
